car_age,km_driven,price_new,accident_count,door_count,fuel,transmission,timestamp
9,96276,36603,4,4,2,1,00:00.0
12,25303,22210,2,5,2,1,00:33.6
11,143756,23364,1,4,2,0,01:07.2
10,88496,37141,5,3,1,1,01:40.8
18,110028,43042,1,4,2,1,02:14.4
15,108313,33293,1,4,1,1,02:48.0
10,114963,26071,2,2,1,1,03:21.6
8,92998,33641,5,4,1,1,03:55.2
17,97479,43628,5,3,1,1,04:28.8
9,95481,24619,3,4,0,1,05:02.4
4,131762,30811,3,4,1,1,05:36.0
17,137970,28163,2,5,2,1,06:09.6
16,110498,32441,1,4,2,1,06:43.2
13,157151,23982,1,3,2,0,07:16.8
16,48386,42278,2,2,2,0,07:50.4
15,36440,44896,1,5,1,0,08:24.0
9,173810,32651,3,5,0,1,08:57.6
3,97205,38666,5,4,1,0,09:31.2
10,47441,32333,3,4,1,1,10:04.8
14,53143,24804,1,5,0,0,10:38.4
8,181822,34041,3,4,0,0,11:12.0
13,144258,37290,5,4,1,1,11:45.6
9,164554,34433,3,4,1,1,12:19.2
14,25241,40124,3,2,1,0,12:52.8
9,95865,35356,1,4,0,0,13:26.4
9,34483,41521,4,4,2,0,14:00.0
4,117295,33211,3,3,2,0,14:33.6
6,31986,24459,1,4,2,1,15:07.2
11,120924,40559,1,4,1,0,15:40.8
9,60272,38118,1,4,1,0,16:14.4
2,129369,45514,4,3,0,0,16:48.0
12,182417,43973,1,3,2,0,17:21.6
20,31662,34613,4,5,2,1,17:55.2
18,147028,46455,5,4,0,1,18:28.8
18,81140,29632,2,5,2,1,19:02.4
13,158522,39592,1,2,1,1,19:36.0
15,108135,27946,1,4,2,1,20:09.6
4,76286,32852,1,2,1,1,20:43.2
18,119477,33238,3,5,2,1,21:16.8
4,133247,28914,3,4,2,1,21:50.4
6,161398,29501,3,5,2,1,22:24.0
12,84369,39609,3,5,1,1,22:57.6
6,99067,35762,3,5,0,1,23:31.2
8,101072,33585,1,5,2,1,24:04.8
16,158900,25601,3,4,2,0,24:38.4
15,77764,41637,1,3,2,1,25:12.0
20,13899,32239,1,5,0,1,25:45.6
9,131171,29541,3,4,0,1,26:19.2
14,43215,25707,5,4,2,0,26:52.8
4,131342,48162,1,2,2,0,27:26.4
6,54151,41814,2,4,2,1,28:00.0
4,82869,36230,2,5,0,1,28:33.6
11,102810,33437,1,4,1,1,29:07.2
8,62036,36091,3,4,1,0,29:40.8
4,143371,31758,1,3,2,0,30:14.4
14,115807,41891,1,4,1,1,30:48.0
8,144722,43891,5,3,1,1,31:21.6
4,147163,39138,5,4,2,1,31:55.2
4,15652,30988,2,4,1,1,32:28.8
11,98357,36817,2,5,2,1,33:02.4
