car_age,km_driven,price_new,accident_count,door_count,fuel,transmission,y_true,timestamp
15,144020,42810,4,3,0,0,569,00:00.0
12,57078,31835,3,3,1,0,4277,00:33.6
2,76288,31851,3,5,0,0,7011,01:07.2
7,97593,29288,2,3,1,1,5576,01:40.8
13,9985,41350,1,5,0,0,6456,02:14.4
10,185263,35424,5,5,0,1,785,02:48.0
12,161722,30044,1,5,1,0,2510,03:21.6
12,126705,23705,3,5,2,0,1667,03:55.2
7,22958,31802,2,4,0,1,8833,04:28.8
9,64719,24604,1,3,1,1,8868,05:02.4
10,155533,26540,1,5,2,1,3034,05:36.0
13,82215,31391,3,5,2,0,1941,06:09.6
11,127962,40941,1,4,2,1,7519,06:43.2
16,114272,26302,1,5,0,1,1129,07:16.8
15,85535,45236,3,4,0,1,1944,07:50.4
14,106617,42246,1,4,1,1,4398,08:24.0
14,74046,31435,3,2,2,1,3078,08:57.6
15,50327,25740,5,3,0,1,1281,09:31.2
13,82342,44072,5,5,2,1,1654,10:04.8
11,188183,32149,3,4,1,1,1859,10:38.4
16,176156,18618,2,5,2,0,397,11:12.0
7,133833,32321,3,4,2,0,2522,11:45.6
13,162479,31379,1,4,2,1,3454,12:19.2
18,74880,25085,1,3,2,1,2971,12:52.8
3,94968,19887,3,5,0,1,2800,13:26.4
13,149252,24409,3,5,2,1,823,14:00.0
11,107399,32961,2,4,0,0,3027,14:33.6
20,44365,25842,2,4,2,1,2191,15:07.2
10,97680,36995,1,4,0,0,6584,15:40.8
13,143844,20665,2,4,2,1,1796,16:14.4
13,20620,38006,5,2,0,1,3222,16:48.0
6,15095,29480,2,5,2,1,8891,17:21.6
4,77117,32448,2,5,2,1,7574,17:55.2
9,57944,17798,3,4,0,1,1887,18:28.8
14,108231,34426,1,5,0,0,2673,19:02.4
1,52947,24519,1,5,2,0,13330,19:36.0
12,168638,23873,2,4,2,1,2908,20:09.6
17,48520,29574,3,4,0,1,2212,20:43.2
15,64135,33981,1,5,0,1,4935,21:16.8
11,42941,31788,2,3,2,1,5796,21:50.4
15,147724,26725,3,5,2,1,1550,22:24.0
15,83983,32378,3,2,2,0,2841,22:57.6
2,137341,41711,1,4,1,1,16013,23:31.2
11,175618,23665,1,2,2,1,3872,24:04.8
2,153116,28881,1,5,2,1,7106,24:38.4
9,74095,28212,2,3,0,1,6413,25:12.0
20,70703,30314,1,4,0,1,1364,25:45.6
11,106403,27821,2,5,2,1,4076,26:19.2
10,84498,28111,1,4,2,1,5397,26:52.8
12,46099,19830,2,4,0,0,3097,27:26.4
11,91024,39285,2,5,2,0,2860,28:00.0
5,141550,34553,1,2,1,0,9061,28:33.6
8,38924,26324,2,4,0,1,5879,29:07.2
7,33482,33522,4,2,2,1,4665,29:40.8
20,15833,38507,3,4,0,0,1894,30:14.4
13,165984,27006,2,3,1,0,2957,30:48.0
9,159184,27341,2,5,2,1,2165,31:21.6
4,156849,30814,1,4,1,0,4900,31:55.2
13,36348,30002,2,4,2,1,4650,32:28.8
16,153646,41764,1,4,0,1,4041,33:02.4
1,126102,24840,1,4,2,1,6981,33:36.0
10,67324,30782,2,4,0,0,4863,34:09.6
12,156213,34261,5,4,1,1,2928,34:43.2
4,101208,36856,3,4,0,1,7225,35:16.8
10,178985,41200,4,4,1,1,2983,35:50.4
16,154776,21951,3,5,0,0,249,36:24.0
6,33801,29899,1,5,1,1,11726,36:57.6
18,75560,35588,1,4,2,0,4237,37:31.2
15,34939,28818,4,4,1,1,2906,38:04.8
5,165779,32060,3,4,2,1,3711,38:38.4
11,78104,25515,4,2,1,1,4897,39:12.0
10,177232,30241,1,4,2,1,3725,39:45.6
1,40997,19693,1,3,2,0,10630,40:19.2
17,83826,46625,3,5,1,1,4901,40:52.8
18,181005,33792,2,4,1,1,2235,41:26.4
12,124417,34407,2,3,2,0,3228,42:00.0
10,60967,31869,1,2,0,1,7587,42:33.6
